track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name,duration_mins,genre,tempo_bins
3057,1507,440,1119,1696,0.3846130978923274,199,0.28,0.532142857142857,0.7959602173690147,0.09090909090909091,0.7675666011085285,0,0.32529849065104754,0.04650856542879617,0.0,0.172295486222794,0.55124883407607,0.6281619929987754,2202,2185,0.38461309789232734,0,Slow
665,288,985,1740,2625,0.2903980498825768,132,0.75,0.8119047619047619,0.37660207115759253,0.7272727272727273,0.657393170033971,1,0.04460464068483892,0.0569022174301544,0.0,0.21947035488367095,0.4175562234428438,0.312915156537981,479,473,0.2903980498825767,0,Slow
743,547,1313,232,3018,0.1757751419483338,1104,0.76,0.5011904761904762,0.7621244745206603,0.18181818181818182,0.7769712140175219,1,0.29713899526920473,0.3390444601078013,0.0,0.06604481612522783,0.5927039071406363,0.2415422485558429,535,528,0.17577514194833374,0,Slow
1999,2741,716,703,2600,0.2599200332946877,601,0.72,0.4738095238095237,0.8359479134625244,0.5454545454545454,0.8767030216341856,1,0.046406848389276875,0.13621688221721825,0.0,0.08866730996033022,0.29111825059591667,0.2756268322551118,1438,1425,0.2599200332946877,0,Slow
3269,439,586,200,2331,0.11793751300573738,1239,0.89,0.8392857142857142,0.45042551009945647,0.2727272727272727,0.694940103701055,1,0.015206127506195096,0.2189624612571576,1.83991683991684e-05,0.3513455559129409,0.8631982588869312,0.30035995695360135,2348,2330,0.11793751300573735,0,Slow
2443,844,498,239,1875,0.2796352448051369,569,0.5,0.7428571428571429,0.7959602173690147,1.0,0.7289111389236546,0,0.00923631448524442,0.2613443432044436,3.95010395010395e-06,0.07451484936206712,0.9005078246450409,0.36878270227477944,1757,1742,0.27963524480513685,0,Slow
1501,488,1784,1098,1408,0.24083950176878027,1206,0.89,0.9011904761904761,0.3786527222393109,0.36363636363636365,0.6884319685320937,0,0.03457986032890291,0.4550900892491797,1.4033264033264034e-06,0.12404846145598798,0.17504404601513102,0.3128409386094034,1070,1060,0.24083950176878027,0,Slow
2540,553,11,1995,3198,0.12210975355985612,1195,0.7000000000000001,0.8964285714285714,0.7805803342561264,0.09090909090909091,0.7930985160021455,1,0.33656228880378464,0.024712168998763356,0.0,0.04921196526214215,0.8186340553425224,0.46675655282461065,1830,1815,0.1221097535598561,0,Slow
1579,459,930,170,902,0.17987306400309166,1245,0.98,0.725,0.44632420793601957,0.7272727272727273,0.7760057214375111,1,0.08064879477359765,0.0032487730697449363,0.0,0.07644473035273935,0.6859778215359104,0.3440619472310527,1129,1119,0.1798730640030916,0,Slow
2125,394,985,1740,2482,0.28583935313178155,209,0.4,0.7523809523809524,0.6688198503024709,0.09090909090909091,0.7417843733237977,1,0.3388150484343321,0.007920871008219461,1.2162162162162162e-06,0.13048139809156212,0.8756347808063011,0.6419541580594486,1532,1519,0.2858393531317815,0,Slow
729,1599,527,900,378,0.2202012544962692,164,0.43,0.6892857142857144,0.8656823541474418,0.2727272727272727,0.8428035043804756,1,0.04246451903581888,0.009464782422013552,0.0,0.2827275651334834,0.6206860814592186,0.43658696485781073,528,521,0.22020125449626915,0,Slow
2942,2989,1441,707,82,0.2619979785368174,193,0.51,0.725,0.829795960217369,0.0,0.773109243697479,1,0.013629195764811895,0.1563987307635449,0.0,0.1851613594939423,0.5864856461809513,0.44932770926363436,2120,2103,0.2619979785368174,0,Slow
